Name,Movie_url,Poster_url,Year,Category,Run_Time,Rating,Storyline,Index
A Man Escaped,https://www.imdb.com/title/tt0049902/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYzMyYTFjYzAtOTczYS00NTU0LTg1Y2EtN2UwN2RkMDNjZDA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UY209_CR4,0,140,209_AL_.jpg",1956,"Drama, Thriller, War            ",101 min,8.2,A captured French Resistance fighter during WWII engineers a daunting escape from a Nazi prison in France.,341
The Snowman,https://www.imdb.com/title/tt0084701/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMWM2MWMyYzYtNGJlMC00Mzk0LTk3NjEtYzY5OWQzOTY3ZmZhXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR6,0,140,209_AL_.jpg",1982,"Animation, Adventure, Family            ",26 min,8.2,"On Christmas Eve, a young boy builds a snowman that comes to life and takes him to the North Pole to meet Father Christmas.",342
The Easy Life,https://www.imdb.com/title/tt0056512/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYmRmZGIxZWYtZDVkNS00NWI0LTg1ZDMtNzdiNjdiMWIxMTg3XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_UY209_CR4,0,140,209_AL_.jpg",1962,"Comedy, Drama            ",108 min,8.2,An impulsive braggart takes a shy law student with him for a two-day road trip from Rome to Tuscany.,343
Larry David: Curb Your Enthusiasm,https://www.imdb.com/title/tt0218388/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYTRkMzkwM2UtODExNC00ZTlmLWFhMjUtYTZjZGQ0NjVkZTJkXkEyXkFqcGdeQXVyNDUwNzc3MTg@._V1_UY209_CR9,0,140,209_AL_.jpg",1999,Comedy            ,59 min,8.2,Mock documentary about Seinfeld writer Larry David featuring contributions from his friends and colleagues. Larry makes a return to stand-up comedy and prepares to film a television special for HBO.,344
The Ascent,https://www.imdb.com/title/tt0075404/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTNhYWMyNzgtYWI4MC00NDAxLWJjZmItN2QyZTAwYTNhMTBmXkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_UY209_CR0,0,140,209_AL_.jpg",1977,"Drama, War            ",111 min,8.2,"Two Soviet partisans on a mission to gather food contend with the winter cold, the occupying Germans, and their own psyches.",345
Ordet,https://www.imdb.com/title/tt0048452/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYjFjYzQ4ZTgtZGQ3MS00NDE2LTlmOTktYTIwOWIwMWVkYjcxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTc2MDU0NDE@._V1_UY209_CR0,0,140,209_AL_.jpg",1955,Drama            ,126 min,8.2,"Follows the lives of the Borgen family, as they deal with inner conflict, as well as religious conflict with each other, and the rest of the town.",346
Umberto D.,https://www.imdb.com/title/tt0045274/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYTQyZGM5OTUtZjVlMy00MDgyLWE0YjYtZDYwYTgxMmMyZDIxXkEyXkFqcGdeQXVyNzYxODE3NTQ@._V1_UX140_CR0,0,140,209_AL_.jpg",1952,Drama            ,89 min,8.2,An elderly man and his dog struggle to survive on his government pension in Rome.,347
David Byrne's American Utopia,https://www.imdb.com/title/tt11874226/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMGEzOWU5YmUtNjI0Mi00YzQ4LWIwODgtYWU0NDMyYTZkYjEyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",2020,"Documentary, Music, Musical            ",105 min,8.2,"Spike Lee documents the former Talking Heads frontman's brilliant, timely 2019 Broadway show, based on his recent album and tour of the same name.",348
The Young and the Damned,https://www.imdb.com/title/tt0042804/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BODM4OTk1MjI5NV5BMl5BanBnXkFtZTgwNTg0NTQzMjE@._V1_UY209_CR3,0,140,209_AL_.jpg",1950,"Crime, Drama            ",80 min,8.2,"A group of juvenile delinquents live a violent and crime-filled life in the festering slums of Mexico City, as the morals of young Pedro are gradually corrupted and destroyed by the others.",349
I Am a Fugitive from a Chain Gang,https://www.imdb.com/title/tt0023042/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMDllMDA4YWQtYzdmNC00OGYxLWE0N2QtZmNjM2QxMTgxYzFkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",1932,"Crime, Drama, Film-Noir            ",92 min,8.2,"Wrongly convicted James Allen serves in the intolerable conditions of a Southern chain gang, which later comes back to haunt him.",350
Aparajito,https://www.imdb.com/title/tt0048956/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNGZhZDAxODQtNjhhZi00MGEwLWE0OWItNjZjYzVlNmM1Nzk0XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX140_CR0,0,140,209_AL_.jpg",1956,Drama            ,110 min,8.2,"Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone.",351
My Voyage to Italy,https://www.imdb.com/title/tt0173772/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMmUxY2Q0M2EtZTgwMS00ZTAwLWExZjktZjM4MTQ5NTE0ZTBjXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg",1999,Documentary            ,246 min,8.2,World-renowned director Martin Scorsese narrates this journey through his favorites in Italian cinema.,352
Derek DelGaudio's In & Of Itself,https://www.imdb.com/title/tt11916302/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTU1ZWY1MDctODFjZC00YTFkLTg4NTMtMjg0NjE3NDIwYTYxXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_UY209_CR5,0,140,209_AL_.jpg",2020,Documentary            ,90 min,8.2,Storyteller and Conceptual Magician Derek DelGaudio attempts to understand the illusory nature of identity and answer the deceptively simple question 'Who am I?',353
Make Way for Tomorrow,https://www.imdb.com/title/tt0029192/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNjI0NDUwNTQ0NV5BMl5BanBnXkFtZTgwNzIwOTkzNDE@._V1_UY209_CR0,0,140,209_AL_.jpg",1937,"Drama, Romance            ",91 min,8.2,An elderly couple are forced to live hundreds of miles apart when they lose their house and none of their five children will take both parents in.,354
History of the Eagles,https://www.imdb.com/title/tt2194326/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNjgwNDg2Mzk2OF5BMl5BanBnXkFtZTcwNDAwNDEyOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",2013,"Documentary, Music            ",187 min,8.2,"The life and times of the super successful American soft-rock band, Eagles.",355
Streetwise,https://www.imdb.com/title/tt0088196/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZDZmZTllZmYtODlmNy00MjEzLTlmZjQtYjg0YjUzYjVhMmE4XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UY209_CR0,0,140,209_AL_.jpg",1984,"Documentary, Drama            ",91 min,8.2,Gritty documentary that looks at the lives of teenagers living on the streets of Seattle.,356
HyperNormalisation,https://www.imdb.com/title/tt6156350/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNWFlNDlkYWMtODEyOC00MjY1LWIyM2EtMzVjNjQ2YmM4NzE4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR3,0,140,209_AL_.jpg",2016,Documentary            ,166 min,8.2,"Adam Curtis explains how, at a time of confusing and inexplicable world events, politicians and the people they represent have retreated in to a damaging over-simplified version of what is happening.",357
Harlan County U.S.A.,https://www.imdb.com/title/tt0074605/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZGQ2OWY2YjEtNjA4OC00YTc1LWFkYTktN2U5NDExOTUzZTNjXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX140_CR0,0,140,209_AL_.jpg",1976,Documentary            ,103 min,8.2,A heartbreaking record of the thirteen-month struggle between a community fighting to survive and a corporation dedicated to the bottom line.,358
The Shop on Main Street,https://www.imdb.com/title/tt0059527/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNTg2ZWMwMmItOTM0Zi00MWQ5LTgyOTAtYWFhODY4MzUxMThkXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_UX140_CR0,0,140,209_AL_.jpg",1965,"Drama, War            ",128 min,8.2,"A carpenter in the Fascist Slovak State is appointed ""Aryan controller"" of a Jewish widow's store.",359
"It's the Great Pumpkin, Charlie Brown",https://www.imdb.com/title/tt0060550/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMzI0N2JmYWYtMWJmOC00NWQxLWEwOTYtOGIxM2U5YmJmYjNlXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",1966,"Animation, Comedy, Family            ",25 min,8.2,The Peanuts gang celebrates Halloween while Linus waits for the Great Pumpkin.,360
Disclosure,https://www.imdb.com/title/tt8637504/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYTk1MzczM2YtZmJmOC00NWQzLWJkNTAtYTI3YzE3ODcyMTI0XkEyXkFqcGdeQXVyMzAyMzE2MzM@._V1_UY209_CR0,0,140,209_AL_.jpg",2020,Documentary            ,108 min,8.2,An in-depth look at Hollywood's depiction of transgender people and the impact of those stories on transgender lives and American culture.,361
Ballad of a Soldier,https://www.imdb.com/title/tt0052600/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BM2I1NjJjNTMtN2U3OC00MmRhLWE2NmQtM2VlNDE4N2JlODdmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY209_CR2,0,140,209_AL_.jpg",1959,"Drama, Romance, War            ",88 min,8.2,"Young Russian soldier Alyosha earns a medal, but asks to visit his mother instead. His journey recounts various kinds of love during wartime.",362
Virunga,https://www.imdb.com/title/tt3455224/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMzE1NTIyODM5N15BMl5BanBnXkFtZTgwOTExMzc2MjE@._V1_UY209_CR4,0,140,209_AL_.jpg",2014,"Documentary, War            ",100 min,8.2,A team of brave individuals risk their lives to protect the last mountain gorillas.,363
Devils on the Doorstep,https://www.imdb.com/title/tt0245929/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTMzMTUwNjQwNl5BMl5BanBnXkFtZTcwMjk2NTgyMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",2000,"Comedy, Drama, War            ",139 min,8.2,Villagers in World War II China are unsure what to do with the two enemy prisoners who have been left in their care.,364
Hearts and Minds,https://www.imdb.com/title/tt0071604/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjM0NGMyN2YtZjljMS00OWFiLWE4ZmUtMDkyNDQ3ZDQ5ZGQwXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UY209_CR0,0,140,209_AL_.jpg",1974,"Documentary, History, War            ",112 min,8.2,A startling and courageous landmark documentary that unflinchingly confronted the United States' involvement in Vietnam at the height of the controversy that surrounded it.,365
Ivan Vasilyevich Changes His Profession,https://www.imdb.com/title/tt0070233/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYWU1NGI4ZWQtYjZiMC00NjU2LWJhNDEtMmY3NzY1ZmNiMGUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_UY209_CR4,0,140,209_AL_.jpg",1973,"Adventure, Comedy, Sci-Fi            ",88 min,8.2,"An ordinary Soviet building manager, living in the 20th century, looks like Tsar of All Rus' - Ivan IV the Terrible (1530 - 1584). He'd never known this, until his neighbor created a time machine.",366
Office Romance,https://www.imdb.com/title/tt0076727/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMDZmNjBmYzMtMmU1NC00MzQ1LWE1NzgtOTlhOGFlMzQ5MzAwXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg",1977,"Comedy, Drama, Romance            ",159 min,8.2,"The life of entire statistical bureau becomes crazy when an ordinary worker, a shy man, falls in love with a boss, a strict woman.",367
Teddy Bear,https://www.imdb.com/title/tt0082755/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMWNjZDc3YjAtYzhkNi00YzQyLWE1N2QtMjBiZjM1MDIwOGMyXkEyXkFqcGdeQXVyNjIxMzk1NA@@._V1_UX140_CR0,0,140,209_AL_.jpg",1981,Comedy            ,111 min,8.2,"The main character is the manager of a sport club, nicknamed ""Teddy Bear"" by his friends and acquaintances. One day he is detained at the border just as his sport team is off to a ...                See full summary »",368
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,https://www.imdb.com/title/tt0262240/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMGQ4ODY4YzAtNTRmMi00ZTFjLWI5OWUtMTEyYjNlNDljMThkXkEyXkFqcGdeQXVyMjM3ODA2NDQ@._V1_UY209_CR6,0,140,209_AL_.jpg",2000,"Documentary, Biography            ",288 min,8.2,Director Jonas Mekas provides an intimate glimpse of his personal life by constructing a feature length narrative from over 30 years of private home movie footage.,369
Lake of Fire,https://www.imdb.com/title/tt0841119/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYmI2NWI3OGItZjJjNS00YTgyLTkxMGQtYjhlZjFlMGZjNDBjXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_UY209_CR1,0,140,209_AL_.jpg",2006,Documentary            ,152 min,8.2,A graphic documentary on both sides of the abortion debate.,370
"War and Peace, Part I: Andrei Bolkonsky",https://www.imdb.com/title/tt0059884/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYjkwODUxYmQtZmZiMi00ZDYxLTk5ZjgtOWIwZWJiOTRlNmQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg",1965,"Drama, War            ",147 min,8.2,Napoleon's tumultuous relations with Russia including his disastrous 1812 invasion serve as the backdrop for the tangled personal lives of five aristocratic Russian families.,371
Long Strange Trip,https://www.imdb.com/title/tt4143508/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjAwNTM4ODE1N15BMl5BanBnXkFtZTgwMzk4NjYyMTI@._V1_UY209_CR0,0,140,209_AL_.jpg",2017,"Documentary, Biography, Music            ",238 min,8.2,A look at the 30-year career of The Grateful Dead.,372
Treasure Island,https://www.imdb.com/title/tt0122227/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZDU4OThmMWUtMDgyYS00ZDMxLWIzNjctNGZkOGQxNjcwNjFhXkEyXkFqcGdeQXVyNjUzMjMzNTY@._V1_UX140_CR0,0,140,209_AL_.jpg",1988,"Animation, Adventure, Comedy            ",72 min,8.2,Cartoon adaptation of Robert Louis Stevenson's most famous adventure novel.,373
Beautiful People,https://www.imdb.com/title/tt0071143/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BY2UwMmRhZDctMWYwMi00ZTJmLTllZGUtNDFiZjMzZDI4YjgwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",1974,"Comedy, Documentary            ",92 min,8.2,Hilarious documentary on the wildlife of the Namib Desert.,374
LA 92,https://www.imdb.com/title/tt6794424/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMzZmNDAzMmEtNTdjMi00YTlmLTk2YmYtN2MxNmE5NDY3YzVmXkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg",2017,"Documentary, Crime, History            ",114 min,8.2,"Twenty-five years after the verdict in the Rodney King trial sparked several days of protests, violence and looting in Los Angeles, filmmakers examine that tumultuous period through rarely seen archival footage.",375
Koziyat rog,https://www.imdb.com/title/tt0068814/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BOGU0NzM4YTEtMDU4My00YTYzLTkyNmQtZDY0Y2YyYTYwYjE1XkEyXkFqcGdeQXVyMTg2NjYzOA@@._V1_UY209_CR8,0,140,209_AL_.jpg",1972,Drama            ,105 min,8.2,"The film sends us to the 17th century when Bulgaria was a part of the Ottoman Empire. Four hoodlums break into the house of the shepherd Karaivan, raping and killing his wife in full view ...                See full summary »",376
The Times of Harvey Milk,https://www.imdb.com/title/tt0088275/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNDJmMGM2OTYtMjhlZC00YTkyLTk3NTgtNmFmNzdmNDg2N2M3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg",1984,"Documentary, Biography, History            ",90 min,8.2,A documentary of the successful career and assassination of San Francisco's first elected gay city supervisor.,377
One More Time with Feeling,https://www.imdb.com/title/tt5777628/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZjRkZGUzZWYtMjZmYS00NDVlLTk1MjctZDljNTNhMDE5NDU5XkEyXkFqcGdeQXVyMjM0MTE3ODQ@._V1_UY209_CR0,0,140,209_AL_.jpg",2016,"Documentary, Music            ",113 min,8.2,Explores the creative process of Nick Cave and his band as the singer struggles with an unspoken personal tragedy.,378
Twelve Chairs,https://www.imdb.com/title/tt0065670/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMmIzYTY2YTktNTczMi00OGU4LTg1NTgtNzlhMzUzMDFhNGRhXkEyXkFqcGdeQXVyMzQzNDc4NTQ@._V1_UX140_CR0,0,140,209_AL_.jpg",1971,"Adventure, Comedy, Crime            ",153 min,8.2,Two gentlemen of fortune from the times of Imperial Russia are looking for an uncountable treasure at the dawn of the Soviet Union age.,379
Edvard Munch,https://www.imdb.com/title/tt0074462/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNmUxZGRkNDAtMzc4Yi00NWIyLWJhMWEtOTFmNmNhODNmN2JhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",1974,"Biography, Drama, History            ",210 min,8.2,"This biopic of Norwegian Expressionist painter Edvard Munch focuses on the influences that shaped his art, his devastating affair with a married woman that will haunt him for the rest of his life",380
The Sorrow and the Pity,https://www.imdb.com/title/tt0066904/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZDMwNGY3OTMtZDczMy00YzgyLWFkNWItNDM0MDZiOTdjYTMxXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_UY209_CR7,0,140,209_AL_.jpg",1969,"Documentary, History, War            ",251 min,8.2,An in-depth exploration of the various reactions by the French people to the Vichy government's acceptance of Nazi invasion.,381
The Cat Concerto,https://www.imdb.com/title/tt0039251/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZTJiNWI3ZGMtZWM2MC00NTFkLTljZmYtODViNTI3OWJhODdjXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_UX140_CR0,0,140,209_AL_.jpg",1947,"Animation, Short, Comedy            ",8 min,8.2,Tom Cat is a concert pianist who plays beautifully until he is interrupted by Jerry Mouse.,382
Cuba and the Cameraman,https://www.imdb.com/title/tt7320560/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BOTExODE2NjAtMDg0Zi00Njg2LTg3NDktYzQ2YzE3MTM1MWQxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",2017,Documentary            ,113 min,8.2,"Life in Cuba for three struggling families over the course of 45 years, from the cautious optimism of the early 1970s to the harrowing 1990s after the fall of the Soviet Union and the 2016 death of Fidel Castro.",383
Pearl Jam Twenty,https://www.imdb.com/title/tt1417592/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTM3Njc0NTg3OV5BMl5BanBnXkFtZTcwMTc2NDExNg@@._V1_UY209_CR0,0,140,209_AL_.jpg",2011,"Documentary, History, Music            ",119 min,8.2,A documentary on the band Pearl Jam that marks their 20th anniversary in the year 2011.,384
Empire of Dreams: The Story of the 'Star Wars' Trilogy,https://www.imdb.com/title/tt0416716/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNTk1YjE1ZmYtZjY1MS00M2NlLTk0MjUtYjQ1MDBjYmZhNzQwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",2004,"Documentary, History, Sci-Fi            ",151 min,8.2,"An in-depth making of documentary about the original Star Wars trilogy, covering the productions of the three films and their impact on popular culture.",385
The House of Small Cubes,https://www.imdb.com/title/tt1361566/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNDRhNjA1NWQtZjE0OC00ZDYyLTg5NDgtYTMwMzFhNDM2MTdkXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_UY209_CR6,0,140,209_AL_.jpg",2008,"Animation, Short, Drama            ",12 min,8.2,"To save his house from rising flood waters, an old man uses bricks to build it higher, then he relives events from his past while searching for his dropped pipe.",386
How to Die in Oregon,https://www.imdb.com/title/tt1715802/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BY2Y4ZDQ3ZjQtYzVjZi00NGY5LTljNzctZjlhNjNiZWQyZTYwXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY209_CR4,0,140,209_AL_.jpg",2011,"Documentary, Drama, Family            ",107 min,8.2,"In 1994 Oregon became the first state to legalize a terminally ill person's request to end his or her life with medication. At the time, only Belgium, Switzerland, and the Netherlands had ...                See full summary »",387
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,https://www.imdb.com/title/tt0911010/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjExOTk2Mjc5Ml5BMl5BanBnXkFtZTcwOTYzNjk0MQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",2007,"Documentary, History            ",86 min,8.2,"Using extensive interviews with survivors and archival footage, an examination reveals the aftermath of the atomic bombing of Hiroshima and Nagasaki.",388
Only Old Men Are Going to Battle,https://www.imdb.com/title/tt0070861/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYzU5NDAwOTktMDBiOS00MTI2LTllOWUtMDExOGQ4OTI3YmU1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_UY209_CR5,0,140,209_AL_.jpg",1974,"Comedy, Drama, War            ",92 min,8.2,"During World War II, a Soviet veteran pilot teaches newcomers that war is transient, and music is eternal.",389
The Concert for Bangladesh,https://www.imdb.com/title/tt0158560/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTgyMzU3NjA3OF5BMl5BanBnXkFtZTcwNTAxNDEzMQ@@._V1_UY209_CR9,0,140,209_AL_.jpg",1972,"Documentary, Music            ",103 min,8.2,The first benefit rock concert when major musicians performed to raise humanitarian relief funds for the refugees of Bangladesh of 1971 war.,390
Welfare,https://www.imdb.com/title/tt0073887/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYjIyNGRmMTItNDMzYS00OWY3LTk5YjQtZDlhZWJkY2YxNWRkXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_UY209_CR8,0,140,209_AL_.jpg",1975,Documentary            ,167 min,8.2,"WELFARE shows the nature and complexity of the welfare system in sequences illustrating the staggering diversity of problems that constitute welfare: housing, unemployment, divorce, medical...                See full summary »",391
Tie Xi Qu: West of the Tracks,https://www.imdb.com/title/tt0389448/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTc4NjMxNjk0Nl5BMl5BanBnXkFtZTcwNTIwMTgyMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",2002,Documentary            ,551 min,8.2,"The impact of the decline of heavy industry on workers and their families in the Tiexi district of Shenyang, China, at the turn of the 21st century, documented unflinchingly by a fly-on-the-wall camera.",392
Foo Fighters: Back and Forth,https://www.imdb.com/title/tt1853563/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMzE4OTczMTgxM15BMl5BanBnXkFtZTcwNTU1NjQxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",2011,"Documentary, Music            ",101 min,8.2,"Rising from the ashes of Nirvana, the Foo Fighters became a Grammy-winning sensation on their own. Sixteen years of the band's history comes to life in this documentary, from their demo ...                See full summary »",393
The T.A.M.I. Show,https://www.imdb.com/title/tt0058631/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZjU5NmE5OWMtNDRjYS00ZmVlLTgwNzktMjU4ODk5ZmZhYTY2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX140_CR0,0,140,209_AL_.jpg",1964,"Documentary, Music            ",123 min,8.2,"Surf pop duo, Jan and Dean host this showcase of performances by well-known Rock, R&B, and pop stars of the era.",394
No End in Sight,https://www.imdb.com/title/tt0912593/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTg0NDYzODE4OV5BMl5BanBnXkFtZTcwMjAyOTk0MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",2007,"Documentary, War            ",102 min,8.2,A comprehensive look at the Bush Administration's conduct of the Iraq war and its occupation of the country.,395
Hamlet,https://www.imdb.com/title/tt0058126/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZTExMTA0MmEtMDFjZi00MTllLTk4ODEtZjcxOWYyNDhkMmU0XkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_UY209_CR3,0,140,209_AL_.jpg",1964,Drama            ,140 min,8.2,"After the death of the King of Denmark - Hamlet's father - his brother Claudius ascends the throne, who takes his widow Gertrude as his wife. Hamlet meets the ghost of his father and learns that he was killed by Claudius.",396
The Emperor's Naked Army Marches On,https://www.imdb.com/title/tt0092963/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYTA2MzY5MWUtZjA3ZS00NTk3LWE3ZjktYTljYzRhZjEyODRlXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_UY209_CR4,0,140,209_AL_.jpg",1987,Documentary            ,122 min,8.2,"A documentary following Kenzo Okuzaki, a 62-year-old WW2 veteran notorious for his protests against Emperor Hirohito, as he tries to expose the needless executions of two Japanese soldiers during the war.",397
Winnie-the-Pooh,https://www.imdb.com/title/tt0211729/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjc2NGFhYTUtYmVhNy00MGJhLThiZDgtMGUzZWFkYjE3ZjJlXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UX140_CR0,0,140,209_AL_.jpg",1969,"Animation, Short, Comedy            ",11 min,8.2,A Soviet version of Winnie-the-Pooh. His first adventure is a desperate attempt to get to honey in a bee hollow. He is ready to take decisive action.,398
28 Up,https://www.imdb.com/title/tt0088650/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjBmYWI5YTQtYWFiZS00YmI0LWExYTgtZjM2MmY2YTAxMDRlXkEyXkFqcGdeQXVyNjg1NzcwODE@._V1_UY209_CR15,0,140,209_AL_.jpg",1984,"Documentary, Biography            ",136 min,8.2,Director Michael Apted interviews the same group of British-born adults after a seven-year wait as to the changes that have occurred in their lives during the last seven years.,399
Daria in 'Is It College Yet?',https://www.imdb.com/title/tt0285627/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMWJiYThmNjgtMjVmZC00ZGIxLWFlN2QtNWQ3YzBkZWJlMjM4XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg",2002,"Animation, Comedy, Romance            ",66 min,8.2,"Daria, Jane, and the rest of the Lawndale High seniors face graduation and college in this series finale TV-movie from MTV's ""Daria.""",400
