Name,Movie_url,Poster_url,Year,Category,Run_Time,Rating,Storyline,Index
Rat Movie: Mystery of the Mayan Treasure,https://www.imdb.com/title/tt7454352/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZTA5MzVmYWMtYThkMC00ZDRhLTllN2YtOTgyYjUzOWYyNjQ3XkEyXkFqcGdeQXVyNTkwOTYxMTc@._V1_UX140_CR0,0,140,209_AL_.jpg",2014,"Animation, Short, Action            ",5 min,9,"A group of minor bank robbers gets more than they bargained for when they come into conflict with an army of sentient rats. Hilarity ensues when the rats, too, realize they are in over their heads, as a feline conspiracy reveals itself.",13
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR0,0,140,209_AL_.jpg",2001,"Action, Adventure, Drama            ",178 min,8.9,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,14
Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR2,0,140,209_AL_.jpg",1994,"Crime, Drama            ",154 min,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",15
David Attenborough: A Life on Our Planet,https://www.imdb.com/title/tt11989890/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BY2FkMjE0ZDgtNWQxZS00NmZiLWEwMDYtMjE5M2RmOTZiODk5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY209_CR0,0,140,209_AL_.jpg",2020,"Documentary, Biography            ",83 min,8.9,One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.,16
The Chaos Class Failed the Class,https://www.imdb.com/title/tt0252488/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTIwYTdmZWEtOGZhMS00NTg4LTgwN2EtODFhOTBjNWFlZWI3XkEyXkFqcGdeQXVyMTA1MzE1MjA4._V1_UX140_CR0,0,140,209_AL_.jpg",1975,Comedy            ,95 min,8.9,A young and beautiful female teacher starts working in an all boys high school.,17
 Twin Peaks,https://www.imdb.com/title/tt0278784/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjAyODMxNzIyMl5BMl5BanBnXkFtZTgwOTM1NDk0MDE@._V1_UY209_CR91,0,140,209_AL_.jpg",1990–1991,"Crime, Drama, Mystery            ",94 min,8.9,"The small northwest town of Twin Peaks, Washington is shaken up when the body of the Homecoming Queen, Laura Palmer, is discovered washed up on a riverbank, wrapped in plastic.",18
Inception,https://www.imdb.com/title/tt1375666/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UY209_CR0,0,140,209_AL_.jpg",2010,"Action, Adventure, Sci-Fi            ",148 min,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",19
Fight Club,https://www.imdb.com/title/tt0137523/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg",1999,Drama            ,139 min,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,20
Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR2,0,140,209_AL_.jpg",1994,"Drama, Romance            ",142 min,8.8,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",21
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg",2002,"Action, Adventure, Drama            ",179 min,8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",22
